epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1311.33,0.65778,0.48743,0.9661,0.96008,0.97903,0.99195,0.97325,0.24201,0.23666,0.79502,0.000277312,0.000277312,0.000277312
2,2100.17,0.66773,0.4955,0.96864,0.95421,0.9443,0.98385,0.94724,0.2928,0.31141,0.80343,0.00054399,0.00054399,0.00054399
3,3301.54,0.68823,0.51016,0.97775,0.97008,0.95196,0.98849,0.96214,0.26921,0.25363,0.80413,0.000799672,0.000799672,0.000799672
4,3653.54,0.69304,0.51789,0.97939,0.97728,0.94788,0.98853,0.96233,0.2665,0.25211,0.80543,0.00078352,0.00078352,0.00078352
5,4151.28,0.68296,0.49292,0.97516,0.97866,0.95749,0.99338,0.97316,0.24762,0.23124,0.79809,0.000767026,0.000767026,0.000767026
6,4503.3,0.66105,0.47442,0.96941,0.94229,0.95161,0.99245,0.96928,0.24916,0.29149,0.79859,0.000750533,0.000750533,0.000750533
7,4855.91,0.65866,0.45941,0.96612,0.97712,0.98152,0.99441,0.9785,0.22809,0.22455,0.79057,0.00073404,0.00073404,0.00073404
8,5213.75,0.64434,0.44904,0.96012,0.99254,0.99296,0.99479,0.98534,0.22033,0.17532,0.78756,0.000717546,0.000717546,0.000717546
